# dtw, distance, canonical distance, distance - canonical, entropy, time defending, distance from post,velocity defender,velocity offender,area center,area forward 4,area forward 3, area guard 2,area guard 1, label
1.434221794159613150e+00,-9.830194349412340049e-01,5.642834141995362041e-01,-3.406727554803921088e-01,2.884736460790162105e-01,1.584302407243433741e+00,2.484809138168752318e-01,-7.245867092201641047e-01,-1.237100268209450737e+00,-1.041187938720681050e+00,2.211623433305468789e-01,-3.315248298656494619e-01,2.561608912973116214e-01,7.819233715988285205e-01,1.000000000000000000e+00
6.417177345986703196e-01,-3.197125211639919029e-01,-9.049079931830571466e-01,-4.959625138346595019e-01,-1.611706151781801544e-01,-9.308467641068528531e-01,-7.063691385575243675e-01,-7.839769884633777108e-01,-3.866925080672414111e-02,3.059286679664885433e-01,8.366435176514120942e-01,1.266014832245817789e+00,-3.100376999445798365e+00,8.541710761322572898e-01,1.000000000000000000e+00
-1.951674189309791918e-01,-9.532579072664717490e-01,-1.240143609858785689e+00,-9.193616326374676184e-01,-4.895283781081816166e-01,-1.063656478615748746e+00,-2.651076938714730380e-01,2.407051854888582199e-01,8.317211001558002526e-01,5.054395200984118652e-01,-9.548290130749090832e-01,1.464742238917884909e-01,1.134589924950692996e+00,-7.638466909241655722e-01,1.000000000000000000e+00
-1.163194692769174310e+00,-1.099138512958670377e+00,-1.172300763686271452e+00,-1.309495780454551284e+00,-5.503412684988281400e-01,-1.046991227579967321e+00,-5.320173186784488140e-01,4.438004647933528890e-01,2.327039519719246830e+00,-9.079275385122120845e-01,-8.122599891262998195e-01,1.742861486024087192e+00,4.684532861945428506e-01,-3.345928504669742898e-01,1.000000000000000000e+00
-2.105016017804192952e-01,-5.007112753030231733e-01,9.400686362232475446e-01,7.647954635527937084e-02,-6.676288297864676480e-01,1.688386729743811543e+00,-1.234585538803650503e-02,6.021694711161648117e-01,-8.236530350956468016e-01,-9.384811233490638616e-01,-5.614543371416548245e-01,8.634270959962289105e-01,1.220550790424387744e+00,-5.413073298735836536e-01,1.000000000000000000e+00
2.061898258063642686e+00,7.238091687746450731e-01,1.007187266727718633e+00,1.245194114423773701e+00,1.210475142560828443e+00,5.601541253897641681e-01,5.472137524283996468e-01,-2.959788087147904312e-01,-9.585342911453286208e-01,3.988127603673227162e-01,-1.781454732331660518e+00,1.114287251091344189e+00,1.207386280443833115e+00,-7.463976738840667480e-01,1.000000000000000000e+00
2.659854694618476678e+00,1.784979779687400903e-01,-5.413151128868279871e-01,-1.370824754020916469e-01,-1.890293223167852921e-01,-6.371336089078054321e-02,-4.896062239820472839e-02,-6.072133323872187516e-01,-7.310175995631099100e-02,2.155721853580732927e-01,-6.569753091755704544e-01,-2.208126157401680167e+00,-3.193386222382139095e-01,2.754760685177316315e+00,1.000000000000000000e+00
4.546180544190314698e-01,-1.965832723658545167e-01,-8.142388958495813123e-01,-4.829270518062106499e-01,-8.830016585127413720e-01,-9.244657080282725481e-01,8.883913112113628330e-02,-4.460856882680883789e-02,5.778675631798149137e-01,-1.004672449557414637e+00,2.104883205496462573e+00,-2.140138745882181670e+00,-2.458356729037934341e-01,9.216639428714038518e-01,1.000000000000000000e+00
2.228713987153323917e+00,-4.571470420178593841e-01,7.272436836830508122e-01,1.255803355253448939e-01,1.122142737186499817e+00,4.455560985271602714e-01,2.304542146787504020e+00,3.625311641532369955e-01,-8.542914824629058712e-01,1.147233528752477971e+00,5.383853100701744276e-01,3.747775400493098125e-02,-1.054676217058386767e+00,-5.965340815576437583e-01,1.000000000000000000e+00
-4.680383618985331506e-01,-9.291838140409227620e-01,-1.095104373855516622e+00,-1.060675639879723020e+00,-3.773969347061935653e-01,-8.125352366099110046e-01,-5.446068885067634202e-01,1.160364184637893009e-01,1.123651690982350404e+00,1.088439914893133631e+00,9.435282295395478469e-01,-2.054714336709132727e+00,-6.757412775486160150e-01,5.164369798702267422e-01,1.000000000000000000e+00
1.421298917837638121e-01,-8.744591249828813639e-01,-1.282370392071529031e+00,-1.131190554562464312e+00,-1.463575642736741012e+00,-8.811877825213132454e-01,1.721387700256229655e-02,-6.618896386201662541e-01,9.817872274421582390e-02,-3.631976810310300063e-01,-1.291684786065140124e-02,-1.260944039061672184e+00,2.042503556738490544e-01,1.265754683610730735e+00,1.000000000000000000e+00
7.413489387625133986e-01,-2.306187027939639866e-01,5.944637481380584676e-01,2.783511514287661526e-01,-2.113253602497998374e-01,4.566434898873324433e-01,-1.500302718793671830e-01,2.325832967589315792e-01,-7.367417357723051730e-01,-6.729622458916845185e-01,2.951057877191374246e+00,-1.738498209479004131e-01,-1.657598129490675642e+00,-5.805794905211354440e-01,1.000000000000000000e+00
6.403980949616615570e-01,-1.747618961521761438e+00,-1.272795218620955682e+00,-1.607542758454240994e+00,-1.331828229808228903e+00,-9.825443729159843986e-01,-6.695529810080603772e-01,-5.446781976866099662e-01,9.400398844610054552e-03,2.851507254334266772e+00,1.008481529388813858e-01,-1.300580697487716986e+00,-1.032739190800887386e+00,-5.746606655941909336e-01,1.000000000000000000e+00
-8.858257762212324860e-01,-2.956428529916182990e-01,-6.676836933354500792e-01,-3.834164335722408667e-01,-1.828927577757294864e+00,-1.136438971570443046e+00,5.582773711608393086e-01,1.761558635102566273e+00,3.723189036661961993e+00,4.115438610582789619e-02,8.169673762473662615e-01,-5.062934475273905832e-01,-1.988410442630391017e+00,1.574096201793699690e+00,1.000000000000000000e+00
8.337651100293704820e-01,-4.888430727316236957e-01,6.534515523262149905e-01,4.502548030020653985e-02,5.394016420126700462e-01,1.304360151496859910e+00,1.006281833816465410e+00,-1.602593556766533645e-01,-1.221211022384812939e+00,2.080558743373883412e-01,-2.999078032249048453e-01,1.672614266694077978e-01,-8.578529143132287982e-02,5.186769011233539201e-02,1.000000000000000000e+00
-1.101424374201046108e+00,-1.025814320866028861e+00,-1.109292698389939602e+00,-1.265924644014153833e+00,-1.977379779105586710e+00,-8.821070316429745484e-01,-8.778452775556855325e-01,-4.348293398548321725e-02,-3.575748886413143146e-01,1.615723098430624782e-01,1.252579461590977439e-01,3.326788491554037441e-01,1.092895927139632406e-03,-5.760630771724177812e-01,1.000000000000000000e+00
-1.233849461268578196e+00,-7.142540255139058214e-01,-8.791593701022856200e-01,-7.996783753641856229e-01,-3.896860736352458221e-01,-9.797423951837406220e-01,-1.166566019239351437e+00,1.293049169230248326e-02,1.350847226745017560e+00,-1.941731016603697735e-01,6.933304436893537870e-02,3.788583216434303069e-01,-4.610309674350932668e-02,-1.794729316216857051e-01,1.000000000000000000e+00
-9.215915180327304279e-01,-4.711758128876180479e-02,9.694151215862403248e-01,2.185185541746344218e-01,-1.249993354822203528e+00,1.578251841458485905e-01,-6.262722982142425454e-02,7.218179384544719523e-01,-7.092372254638568130e-01,-1.005505644306480928e+00,8.942364023081035285e-01,-1.247222929999399349e-01,-3.650663248963332275e-01,4.989972139630380332e-01,1.000000000000000000e+00
-2.169249136240169462e-01,-6.613911378366829075e-01,7.358056310232102826e-01,-3.197040204072643110e-01,-3.234800055920814543e-01,1.365086902056940055e+00,1.267146876908990638e+00,2.042616531319283446e+00,1.993195220618008134e-01,4.000610220503184045e-01,-7.148585895706356386e-01,6.706649666007988841e-01,-6.902288414864465871e-01,4.612941460882136191e-01,1.000000000000000000e+00
2.429217182896644123e-01,-4.754047076859375665e-01,9.011374100505069595e-01,1.914546596103480491e-01,-5.405258198283454663e-01,1.757704927503574099e+00,3.426733760914612570e-01,-5.664505084646029864e-01,-1.275485603733950368e+00,5.300154504399229305e-01,7.892924035139915473e-01,-8.985028822816690797e-01,-3.732484325495530331e-01,-1.336204981468099018e-01,1.000000000000000000e+00
-1.996104124062855756e-01,-4.939751523109573994e-01,9.374968974758819407e-01,3.674814392433066457e-02,-1.035904787879093236e+00,1.542160761645590350e+00,7.431209437542394269e-01,4.573088107070337194e-01,-1.163573065871700063e+00,-6.941296698569549006e-01,-6.978534832647775854e-01,8.523671313652303461e-01,6.453798859758107520e-01,-4.021021968391110674e-02,1.000000000000000000e+00
